"ID","Title","URL","Date_Published"
"16-36","Real Personal Income for States and Metropolitan Areas","http://www.bea.gov/newsreleases/regional/rpp/2016/rpp0716.htm","2016-07-07"
"16-35","U.S. International Trade in Goods and Services, May 2016","http://www.bea.gov/newsreleases/international/trade/2016/trad0516.htm","2016-07-06"
"16-34","U.S. International Investment Position, 1st quarter 2016, annual 2015, and annual revisions","http://www.bea.gov/newsreleases/international/intinv/2016/intinv116.htm","2016-06-30"
"16-33","Personal Income and Outlays, May 2016","http://www.bea.gov/newsreleases/national/pi/2016/pi0516.htm","2016-06-29"
"16-32","Gross Domestic Product, 1st quarter 2016 (third estimate); Corporate Profits, 1st quarter 2016 (revised estimate)","http://www.bea.gov/newsreleases/national/gdp/2016/gdp1q16_3rd.htm","2016-06-28"
"16-31","Travel and Tourism Satellite Accounts, 1st quarter 2016 and annual revisions","http://www.bea.gov/newsreleases/industry/tourism/2016/tour116.htm","2016-06-23"
"16-30","State Quarterly Personal Income, 1st quarter 2016","http://www.bea.gov/newsreleases/regional/spi/2016/spi0616.htm","2016-06-22"
"16-29","U.S. International Transactions, 1st quarter 2016 and Annual Revisions","http://www.bea.gov/newsreleases/international/transactions/2016/trans116.htm","2016-06-16"
"16-28","Gross Domestic Product by State, 4th quarter and annual 2015","http://www.bea.gov/newsreleases/regional/gdp_state/2016/qgsp0616.htm","2016-06-14"
"16-27","U.S. International Trade in Goods and Services, 2015 Annual Revision","http://www.bea.gov/newsreleases/international/trade/2016/trad1316.htm","2016-06-03"
"16-26","U.S. International Trade in Goods and Services, April 2016","http://www.bea.gov/newsreleases/international/trade/2016/trad0416.htm","2016-06-03"
"16-25","Personal Income and Outlays, April 2016","http://www.bea.gov/newsreleases/national/pi/2016/pi0416.htm","2016-05-31"
"16-24","Gross Domestic Product, 1st quarter 2016 (second estimate); Corporate Profits, 1st quarter 2016 (preliminary estimate)","http://www.bea.gov/newsreleases/national/gdp/2016/gdp1q16_2nd.htm","2016-05-27"
"16-23","U.S. International Trade in Goods and Services, March 2016","http://www.bea.gov/newsreleases/international/trade/2016/trad0316.htm","2016-05-04"
"16-22","Personal Income and Outlays, March 2016","http://www.bea.gov/newsreleases/national/pi/2016/pi0316.htm","2016-04-29"
"16-21","Gross Domestic Product, 1st quarter 2016 (advance estimate)","http://www.bea.gov/newsreleases/national/gdp/2016/gdp1q16_adv.htm","2016-04-28"
"16-20","Gross Domestic Product by Industry, 4th quarter and annual 2015","http://www.bea.gov/newsreleases/industry/gdpindustry/2016/gdpind415.htm","2016-04-21"
"16-19","U.S. International Trade in Goods and Services, February 2016","http://www.bea.gov/newsreleases/international/trade/2016/trad0216.htm","2016-04-05"
"16-18","U.S. International Investment Position, 4th quarter 2015","http://www.bea.gov/newsreleases/international/intinv/2016/intinv415.htm","2016-03-31"
"16-17","Personal Income and Outlays, February 2016","http://www.bea.gov/newsreleases/national/pi/2016/pi0216.htm","2016-03-28"
"16-16","Gross Domestic Product, 4th quarter and annual 2015 (third estimate); Corporate Profits, 4th quarter and annual 2015","http://www.bea.gov/newsreleases/national/gdp/2016/gdp4q15_3rd.htm","2016-03-25"
"16-15","State Quarterly Personal Income, 1st quarter 2015 - 4th quarter 2015; State Annual Personal Income, 2015 (preliminary estimate)","http://www.bea.gov/newsreleases/regional/spi/2016/spi0316.htm","2016-03-24"
"16-14","U.S. International Transactions, 4th quarter and Year 2015","http://www.bea.gov/newsreleases/international/transactions/2016/trans415.htm","2016-03-17"
"16-13","Travel and Tourism Satellite Accounts, 4th quarter 2015","http://www.bea.gov/newsreleases/industry/tourism/2016/tour415.htm","2016-03-16"
"16-12","U.S. International Trade in Goods and Services, January 2016","http://www.bea.gov/newsreleases/international/trade/2016/trad0116.htm","2016-03-04"
"16-11","Gross Domestic Product by State, 3rd quarter 2015","http://www.bea.gov/newsreleases/regional/gdp_state/2016/qgsp0316.htm","2016-03-02"
"16-10","Gross Domestic Product for the Commonwealth of the Northern Mariana Islands (CNMI), 2014","http://www.bea.gov/newsreleases/general/terr/2016/CNMIGDP_022816.pdf","2016-02-28"
"16-09","Personal Income and Outlays, January 2016","http://www.bea.gov/newsreleases/national/pi/2016/pi0116.htm","2016-02-26"
"16-08","Gross Domestic Product, 4th quarter and annual 2015 (second estimate)","http://www.bea.gov/newsreleases/national/gdp/2016/gdp4q15_2nd.htm","2016-02-26"
"16-07","Arts and Cultural Production Satellite Account, 2013","http://www.bea.gov/newsreleases/general/acpsa/acpsa0216.pdf","2016-02-16"
"16-06","U.S. International Trade in Goods and Services, December 2015","http://www.bea.gov/newsreleases/international/trade/2016/trad1215.htm","2016-02-05"
"16-05","Personal Income and Outlays, December 2015","http://www.bea.gov/newsreleases/national/pi/2016/pi1215.htm","2016-02-01"
"16-04","Gross Domestic Product, 4th quarter and annual 2015 (advance estimate)","http://www.bea.gov/newsreleases/national/gdp/2016/gdp4q15_adv.htm","2016-01-29"
"16-03","Gross Domestic Product by Industry, 3rd quarter 2015","http://www.bea.gov/newsreleases/industry/gdpindustry/2016/gdpind315.htm","2016-01-21"
"16-02","Gross Domestic Product for American Samoa, 2014","http://www.bea.gov/newsreleases/general/terr/2016/asgdp_011316.pdf","2016-01-13"
"16-01","U.S. International Trade in Goods and Services, November 2015","http://www.bea.gov/newsreleases/international/trade/2016/trad1115.htm","2016-01-06"
"15-68","U.S. International Investment Position, 3rd quarter 2015","http://bea.gov/newsreleases/international/intinv/2015/intinv315.htm","2015-12-29"
"15-67","Personal Income and Outlays, November 2015","http://bea.gov/newsreleases/national/pi/2015/pi1115.htm","2015-12-23"
"15-66","Gross Domestic Product, 3rd quarter 2015 (third estimate); Corporate Profits, 3rd quarter 2015 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp3q15_3rd.htm","2015-12-22"
"15-65","State Quarterly Personal Income, 1st quarter 2015 - 3rd quarter 2015","http://bea.gov/newsreleases/regional/spi/2015/spi1215.htm","2015-12-21"
"15-64","U.S. International Transactions, 3rd quarter 2015","http://bea.gov/newsreleases/international/transactions/2015/trans315.htm","2015-12-17"
"15-63","Gross Domestic Product for U.S. Virgin Islands (USVI), 2014","http://bea.gov/newsreleases/general/terr/2015/vigdp_121615.pdf","2015-12-16"
"15-62","Travel and Tourism Satellite Accounts, 3rd quarter 2015","http://bea.gov/newsreleases/industry/tourism/2015/tour315.htm","2015-12-16"
"15-61","Gross Domestic Product by State, 2nd Quarter 2015","http://bea.gov/newsreleases/regional/gdp_state/2015/qgsp1215.htm","2015-12-10"
"15-60","U.S. International Trade in Goods and Services, October 2015","http://bea.gov/newsreleases/international/trade/2015/trad1015.htm","2015-12-04"
"15-59","Gross Domestic Product for Guam, 2014","http://bea.gov/newsreleases/general/terr/2015/guamgdp_120215.pdf","2015-12-02"
"15-58","Personal Consumption Expenditures by State, 1997-2014","http://bea.gov/newsreleases/regional/pce/2015/pce1215.htm","2015-12-01"
"15-57","New Foreign Direct Investment in the United States, 2014","http://bea.gov/newsreleases/international/fdi/2015/fdi1115.htm","2015-11-30"
"15-56","Personal Income and Outlays, October 2015","http://bea.gov/newsreleases/national/pi/2015/pi1015.htm","2015-11-25"
"15-55","Gross Domestic Product, 3rd quarter 2015 (second estimate); Corporate Profits, 3rd quarter 2015 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp3q15_2nd.htm","2015-11-24"
"15-54","Local Area Personal Income, 2012 - 2014","http://bea.gov/newsreleases/regional/lapi/2015/lapi1115.htm","2015-11-19"
"15-53","Gross Domestic Product by Industry, 2nd quarter, 2015","http://bea.gov/newsreleases/industry/gdpindustry/2015/gdpind215.htm","2015-11-05"
"15-52","U.S. International Trade in Goods and Services, September 2015","http://bea.gov/newsreleases/international/trade/2015/trad0915.htm","2015-11-04"
"15-51","Personal Income and Outlays, September 2015","http://bea.gov/newsreleases/national/pi/2015/pi0915.htm","2015-10-30"
"15-50","Gross Domestic Product, 3rd quarter 2015 (advance estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp3q15_adv.htm","2015-10-29"
"15-49","U.S. International Trade in Goods and Services, August 2015","http://bea.gov/newsreleases/international/trade/2015/trad0815.htm","2015-10-06"
"15-48","State Quarterly Personal Income, 1st quarter 2012 - 2nd quarter 2015; State Annual Personal Income, 2012 - 2014","http://bea.gov/newsreleases/regional/spi/2015/spi0915.htm","2015-09-30"
"15-47","U.S. International Investment Position, 2nd quarter 2015","http://bea.gov/newsreleases/international/intinv/2015/intinv215.htm","2015-09-29"
"15-46","Personal Income and Outlays, August 2015","http://bea.gov/newsreleases/national/pi/2015/pi0815.htm","2015-09-28"
"15-45","Gross Domestic Product, 2nd quarter 2015 (third estimate); Corporate Profits, 2nd quarter 2015 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp2q15_3rd.htm","2015-09-25"
"15-44","Gross Domestic Product by Metropolitan Area, Advance 2014 and Revised 2001-2013","http://bea.gov/newsreleases/regional/gdp_metro/2015/gdp_metro0915.htm","2015-09-23"
"15-43","U.S. International Transactions, 2nd quarter 2015","http://bea.gov/newsreleases/international/transactions/2015/trans215.htm","2015-09-17"
"15-42","Travel and Tourism Satellite Accounts, 2nd quarter 2015","http://bea.gov/newsreleases/industry/tourism/2015/tour215.htm","2015-09-16"
"15-41","U.S. International Trade in Goods and Services, July 2015","http://bea.gov/newsreleases/international/trade/2015/trad0715.htm","2015-09-03"
"15-40","Gross Domestic Product by State, 1st Quarter of 2005 through 4th quarter of 2014 (prototype statistic)","http://bea.gov/newsreleases/regional/gdp_state/2015/qgsp0915.htm","2015-09-02"
"15-39","Personal Income and Outlays, July 2015","http://bea.gov/newsreleases/national/pi/2015/pi0715.htm","2015-08-28"
"15-38","Gross Domestic Product, 2nd quarter 2015 (second estimate); Corporate Profits, 2nd quarter 2015 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp2q15_2nd.htm","2015-08-27"
"15-37","U.S. International Trade in Goods and Services, June 2015","http://bea.gov/newsreleases/international/trade/2015/trad0615.htm","2015-08-05"
"15-36","Personal Income and Outlays, June 2015; Includes historical revisions","http://bea.gov/newsreleases/national/pi/2015/pi0615.htm","2015-08-03"
"15-35","Gross Domestic Product, 2nd quarter 2015 (advance estimate); Includes historical revisions","http://bea.gov/newsreleases/national/gdp/2015/gdp2q15_adv.htm","2015-07-30"
"15-34","Gross Domestic Product by Industry, 1st quarter, 2015","http://bea.gov/newsreleases/industry/gdpindustry/2015/gdpind115.htm","2015-07-23"
"15-33","U.S. International Trade in Goods and Services, May 2015","http://bea.gov/newsreleases/international/trade/2015/trad0515.htm","2015-07-07"
"15-32","Real Personal Income for States and Metropolitan Areas, 2013","http://bea.gov/newsreleases/regional/rpp/2015/rpp0615.htm","2015-07-01"
"15-31","U.S. International Investment Position, 1st quarter 2015, Year 2014, and Annual Revisions","http://bea.gov/newsreleases/international/intinv/2015/intinv115.htm","2015-06-30"
"15-30","Personal Income and Outlays, May 2015","http://bea.gov/newsreleases/national/pi/2015/pi0515.htm","2015-06-25"
"15-29","Gross Domestic Product, 1st quarter 2015 (third estimate); Corporate Profits, 1st quarter 2015 (revised estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp1q15_3rd.htm","2015-06-24"
"15-28","Travel and Tourism Satellite Accounts, 1st quarter 2015","http://bea.gov/newsreleases/industry/tourism/2015/tour115.htm","2015-06-23"
"15-27","State Quarterly Personal Income, 1st quarter 2014 - 1st quarter 2015","http://bea.gov/newsreleases/regional/spi/2015/spi0615.htm","2015-06-22"
"15-26","U.S. International Transactions, 1st quarter 2015 and Annual Revisions","http://bea.gov/newsreleases/international/transactions/2015/trans115.htm","2015-06-18"
"15-25","Gross Domestic Product by State, Advance 2014 and Revised 1997-2013","http://bea.gov/newsreleases/regional/gdp_state/2015/gsp0615.htm","2015-06-10"
"15-23","U.S. International Trade in Goods and Services, April 2015","http://bea.gov/newsreleases/international/trade/2015/trad0415.htm","2015-06-03"
"15-22","Personal Income and Outlays, April 2015","http://bea.gov/newsreleases/national/pi/2015/pi0415.htm","2015-06-01"
"15-21","Gross Domestic Product, 1st quarter 2015 (second estimate); Corporate Profits, 1st quarter 2015 (preliminary estimate)","http://bea.gov/newsreleases/national/gdp/2015/gdp1q15_2nd.htm","2015-05-29"
"15-20","U.S. International Trade in Goods and Services, March 2015","http://bea.gov/newsreleases/international/trade/2015/trad0315.htm","2015-05-05"
